IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.242.59.216,2096,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,1.68359375
47.238.40.58,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,1.52734375
8.210.156.6,2083,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,1.502929688
47.76.26.26,2096,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,1.497070313
47.76.214.139,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,1.41796875
47.245.118.70,2053,TRUE,SIN,Asia Pacific,Singapore,231 ms,1.321289063
47.236.145.85,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,1.286132813
47.76.218.163,443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,1.139648438
47.242.59.216,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,1.024414063
8.217.127.73,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,0.999023438
47.76.214.139,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,0.946289063
47.76.32.108,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,0.90234375
8.217.127.73,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0.87890625
8.210.156.6,2053,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,0.846679688
47.76.204.76,2053,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,0.831054688
8.218.204.128,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,0.828125
47.245.118.70,2096,TRUE,SIN,Asia Pacific,Singapore,237 ms,0.805664063
47.76.227.128,2083,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,0.79296875
47.76.146.1,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0.790039063
47.76.77.103,2083,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,0.743164063
47.76.204.76,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,0.727539063
8.218.204.128,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,0.668945313
47.76.77.103,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,0.665039063
47.76.146.1,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0.65625
8.210.207.214,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,0.630859375
8.210.34.188,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,0.627929688
47.76.77.103,8443,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0.615234375
47.76.204.76,2096,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,0.612304688
47.76.227.128,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,0.60546875
47.236.181.185,8443,TRUE,SIN,Asia Pacific,Singapore,234 ms,0.599609375
47.76.37.57,8443,TRUE,HKG,Asia Pacific,Hong Kong,85 ms,0.58984375
47.76.32.108,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,0.552734375
8.217.127.73,2096,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,0.551757813
47.76.49.246,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,0.546875
47.76.245.164,80,TRUE,SIN,Asia Pacific,Singapore,65 ms,0.5
47.76.146.1,2096,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0.46875
149.129.8.215,443,TRUE,SJC,North America,San Jose,95 ms,0.44921875
47.76.94.15,2053,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,0.443359375
47.238.48.58,80,TRUE,SIN,Asia Pacific,Singapore,65 ms,0.41796875
47.76.192.24,8443,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,0.37109375
47.76.204.76,8443,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,0.356445313
47.76.227.128,8443,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,0.349609375
47.76.204.76,2087,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,0.349609375
